Date,Route,Total trips
1/8/2023,126,464
1/8/2023,153,421
1/8/2023,84,747
1/8/2023,42,406
1/8/2023,4,398
1/8/2023,81,606
1/8/2023,189,493
1/8/2023,180,415
1/8/2023,50,519
1/8/2023,83,1540
1/8/2023,192,945
1/8/2023,823,17
1/8/2023,21,1676
1/8/2023,55,680
1/8/2023,119,877
1/8/2023,140,166
1/8/2023,79,406
1/8/2023,94,293
1/8/2023,87,504
1/8/2023,14,276
1/8/2023,813,192
1/8/2023,74,334
1/8/2023,37,191
1/8/2023,34,273
1/8/2023,12,688
1/8/2023,133,239
1/8/2023,116,1172
1/8/2023,60,1014
1/8/2023,25,281
1/8/2023,198,56
1/8/2023,9,260
1/8/2023,165,1190
1/8/2023,58,304
1/8/2023,24,201
1/8/2023,8,232
1/8/2023,15,796
1/8/2023,186,914
1/8/2023,141,356
1/8/2023,832,114
1/8/2023,95,1006
1/8/2023,197,330
1/8/2023,32,644
1/8/2023,110,1219
1/8/2023,19,378
1/8/2023,809,302
1/8/2023,193,1010
1/8/2023,6,406
1/8/2023,26,526
1/8/2023,78,848
1/8/2023,183,240
1/8/2023,49,627
1/8/2023,899,0
1/8/2023,107,724
1/8/2023,194,462
1/8/2023,181,607
1/8/2023,853,262
1/8/2023,82,563
1/8/2023,66,221
1/8/2023,111,1138
1/8/2023,5,1357
1/8/2023,30,608
1/8/2023,155,414
1/8/2023,103,369
1/8/2023,865,35
1/8/2023,162,339
1/8/2023,123,113
1/8/2023,3,119
1/8/2023,867,263
1/8/2023,102,1360
1/8/2023,75,326
1/8/2023,132,197
1/8/2023,850,99
1/8/2023,47,558
1/8/2023,120,641
1/8/2023,73,1299
1/8/2023,86,1698
1/8/2023,2,921
1/8/2023,71,1087
1/8/2023,124,495
1/8/2023,115,1595
1/8/2023,114,388
1/8/2023,191,662
1/8/2023,121,1427
1/8/2023,195,360
1/8/2023,85,253
1/8/2023,185,380
1/8/2023,188,35
1/8/2023,178,370
1/8/2023,856,258
1/8/2023,40,222
1/9/2023,180,624
1/9/2023,825,66
1/9/2023,83,4016
1/9/2023,107,1380
1/9/2023,110,2405
1/9/2023,196,2426
1/9/2023,899,198
1/9/2023,853,466
1/9/2023,172,1313
1/9/2023,95,1659
1/9/2023,50,1834
1/9/2023,865,447
1/9/2023,82,1362
1/9/2023,117,1709
1/9/2023,12,1413
1/9/2023,126,723
1/9/2023,73,3056
1/9/2023,34,429
1/9/2023,85,569
1/9/2023,120,1183
1/9/2023,153,791
1/9/2023,165,1903
1/9/2023,25,571
1/9/2023,121,2397
1/9/2023,221,308
1/9/2023,192,1219
1/9/2023,823,40
1/9/2023,119,1429
1/9/2023,197,371
1/9/2023,140,480
1/9/2023,195,667
1/9/2023,87,988
1/9/2023,9,476
1/9/2023,5,2494
1/9/2023,800,122
1/9/2023,84,1236
1/9/2023,81,1068
1/9/2023,27,536
1/9/2023,36,831
1/9/2023,181,1621
1/9/2023,47,767
1/9/2023,42,1384
1/9/2023,24,414
1/9/2023,191,927
1/9/2023,74,813
1/9/2023,189,878
1/9/2023,102,1837
1/9/2023,78,2091
1/9/2023,142,107
1/9/2023,155,894
1/9/2023,89,2264
1/9/2023,123,280
1/9/2023,3,632
1/9/2023,55,1505
1/9/2023,58,563
1/9/2023,103,607
1/9/2023,21,2762
1/9/2023,194,843
1/9/2023,193,1542
1/9/2023,51,3032
1/9/2023,32,1364
1/9/2023,8,378
1/9/2023,143,8
1/9/2023,30,888
1/9/2023,178,615
1/9/2023,86,2158
1/9/2023,66,800
1/9/2023,6,741
1/9/2023,71,2028
1/9/2023,185,695
1/9/2023,14,519
1/9/2023,132,702
1/9/2023,19,829
1/9/2023,141,843
1/9/2023,148,48
1/9/2023,104,809
1/9/2023,186,2320
1/9/2023,809,486
1/9/2023,133,484
1/9/2023,15,2015
1/9/2023,295,116
1/9/2023,816,223
1/9/2023,49,995
1/9/2023,1,566
1/9/2023,188,409
1/9/2023,93,1076
1/9/2023,116,2048
1/9/2023,813,334
1/9/2023,183,179
1/9/2023,125,2148
1/9/2023,114,712
1/9/2023,26,793
1/9/2023,111,1735
1/9/2023,75,956
1/9/2023,40,552
1/9/2023,198,63
1/9/2023,850,431
1/9/2023,68,1022
1/9/2023,832,241
1/9/2023,94,1076
1/9/2023,60,1644
1/9/2023,162,972
1/9/2023,39,4870
1/9/2023,124,806
1/9/2023,115,2867
1/9/2023,79,613
1/9/2023,4,901
1/9/2023,2,1333
1/9/2023,150,205
1/10/2023,123,275
1/10/2023,800,154
1/10/2023,9,516
1/10/2023,103,577
1/10/2023,5,2711
1/10/2023,14,575
1/10/2023,119,1557
1/10/2023,37,679
1/10/2023,12,1333
1/10/2023,192,1078
1/10/2023,196,2166
1/10/2023,197,531
1/10/2023,32,1316
1/10/2023,865,206
1/10/2023,186,1999
1/10/2023,102,2433
1/10/2023,34,382
1/10/2023,124,984
1/10/2023,36,1014
1/10/2023,1,520
1/10/2023,40,758
1/10/2023,49,1115
1/10/2023,189,862
1/10/2023,141,985
1/10/2023,71,1458
1/10/2023,178,769
1/10/2023,110,2299
1/10/2023,27,717
1/10/2023,172,1209
1/10/2023,823,62
1/10/2023,162,888
1/10/2023,47,804
1/10/2023,50,2038
1/10/2023,66,953
1/10/2023,191,921
1/10/2023,42,1155
1/10/2023,19,844
1/10/2023,125,2616
1/10/2023,193,2172
1/10/2023,142,83
1/10/2023,221,235
1/10/2023,39,4597
1/10/2023,126,902
1/10/2023,195,587
1/10/2023,3,577
1/10/2023,165,1312
1/10/2023,95,1543
1/10/2023,82,926
1/10/2023,79,535
1/10/2023,26,737
1/10/2023,816,300
1/10/2023,15,2131
1/10/2023,116,2190
1/10/2023,73,2743
1/10/2023,121,2534
1/10/2023,150,389
1/10/2023,85,562
1/10/2023,83,3730
1/10/2023,24,323
1/10/2023,853,494
1/10/2023,120,872
1/10/2023,104,660
1/10/2023,295,43
1/10/2023,75,1062
1/10/2023,856,392
1/10/2023,194,637
1/10/2023,133,537
1/10/2023,74,606
1/10/2023,188,532
1/10/2023,93,671
1/10/2023,94,1207
1/10/2023,55,1492
1/10/2023,6,899
1/10/2023,25,442
1/10/2023,58,543
1/10/2023,832,293
1/10/2023,181,1633
1/10/2023,140,726
1/10/2023,89,2621
1/10/2023,867,824
1/10/2023,183,492
1/10/2023,4,1005
1/10/2023,114,561
1/10/2023,117,1848
1/10/2023,850,450
1/10/2023,60,1819
1/10/2023,809,473
1/10/2023,68,1009
1/10/2023,153,883
1/10/2023,107,1423
1/10/2023,198,107
1/10/2023,51,2127
1/10/2023,899,236
1/10/2023,86,2212
1/10/2023,143,371
1/10/2023,84,1338
1/10/2023,132,581
1/10/2023,185,709
1/10/2023,8,410
1/10/2023,155,768
1/10/2023,81,1050
1/10/2023,30,917
1/10/2023,2,1509
1/10/2023,87,895
1/10/2023,111,1903
1/10/2023,115,3452
1/10/2023,180,931
1/10/2023,21,2980
1/10/2023,78,3223
1/11/2023,107,1393
1/11/2023,27,570
1/11/2023,119,1646
1/11/2023,193,1519
1/11/2023,162,0
1/11/2023,188,472
1/11/2023,71,2008
1/11/2023,124,970
1/11/2023,84,1197
1/11/2023,141,888
1/11/2023,823,0
1/11/2023,191,888
1/11/2023,83,2597
1/11/2023,195,646
1/11/2023,30,1219
1/11/2023,104,682
1/11/2023,36,1127
1/11/2023,81,942
1/11/2023,148,58
1/11/2023,12,1283
1/11/2023,196,2108
1/11/2023,150,352
1/11/2023,1,584
1/11/2023,24,355
1/11/2023,25,326
1/11/2023,95,1614
1/11/2023,2,1348
1/11/2023,194,932
1/11/2023,825,72
1/11/2023,19,950
1/11/2023,85,511
1/11/2023,153,899
1/11/2023,816,384
1/11/2023,26,774
1/11/2023,813,301
1/11/2023,55,1272
1/11/2023,32,1180
1/11/2023,34,433
1/11/2023,140,666
1/11/2023,143,428
1/11/2023,78,1821
1/11/2023,93,981
1/11/2023,79,575
1/11/2023,850,468
1/11/2023,42,1270
1/11/2023,867,0
1/11/2023,73,2821
1/11/2023,172,1502
1/11/2023,111,2086
1/11/2023,39,5870
1/11/2023,102,1867
1/11/2023,82,1037
1/11/2023,4,360
1/11/2023,116,1894
1/11/2023,110,2344
1/11/2023,183,450
1/11/2023,8,421
1/11/2023,40,790
1/11/2023,37,699
1/11/2023,809,444
1/11/2023,87,1006
1/11/2023,58,509
1/11/2023,853,416
1/11/2023,103,530
1/11/2023,192,974
1/11/2023,165,2028
1/11/2023,186,1809
1/11/2023,75,1168
1/11/2023,832,272
1/11/2023,86,2264
1/11/2023,14,580
1/11/2023,865,364
1/11/2023,181,1563
1/11/2023,49,1098
1/11/2023,15,1785
1/11/2023,142,12
1/11/2023,68,924
1/11/2023,185,798
1/11/2023,899,223
1/11/2023,47,838
1/11/2023,197,411
1/11/2023,60,1909
1/11/2023,155,724
1/11/2023,3,367
1/11/2023,51,3162
1/11/2023,120,1150
1/11/2023,50,1814
1/11/2023,295,877
1/11/2023,117,1742
1/11/2023,114,629
1/11/2023,121,2603
1/11/2023,133,681
1/11/2023,221,353
1/11/2023,115,2953
1/11/2023,89,2544
1/11/2023,856,593
1/11/2023,21,3024
1/11/2023,178,787
1/11/2023,94,1280
1/11/2023,132,646
1/11/2023,198,129
1/11/2023,125,2617
1/11/2023,74,446
1/11/2023,800,231
1/11/2023,189,687
1/11/2023,9,406
1/11/2023,180,866
1/11/2023,6,943
1/11/2023,126,778
1/11/2023,66,923
1/11/2023,5,2732
1/12/2023,79,458
1/12/2023,189,971
1/12/2023,153,663
1/12/2023,850,469
1/12/2023,19,939
1/12/2023,50,2008
1/12/2023,55,1441
1/12/2023,60,1413
1/12/2023,73,2902
1/12/2023,107,1379
1/12/2023,87,995
1/12/2023,30,1638
1/12/2023,95,1420
1/12/2023,867,499
1/12/2023,49,1020
1/12/2023,185,792
1/12/2023,25,353
1/12/2023,832,266
1/12/2023,132,435
1/12/2023,191,929
1/12/2023,800,230
1/12/2023,86,2060
1/12/2023,119,1353
1/12/2023,110,2056
1/12/2023,142,35
1/12/2023,133,588
1/12/2023,2,992
1/12/2023,123,123
1/12/2023,195,671
1/12/2023,66,649
1/12/2023,84,1219
1/12/2023,21,2873
1/12/2023,853,373
1/12/2023,4,614
1/12/2023,8,391
1/12/2023,178,643
1/12/2023,899,155
1/12/2023,197,459
1/12/2023,188,268
1/12/2023,40,331
1/12/2023,85,555
1/12/2023,823,77
1/12/2023,183,462
1/12/2023,37,0
1/12/2023,124,951
1/12/2023,24,309
1/12/2023,74,579
1/12/2023,120,1058
1/12/2023,3,457
1/12/2023,121,2237
1/12/2023,39,4544
