OBJECTID,shape_id,OBJECTID_1,route_id,trip_id,shape_id_1,OBJECTID_12,route_id_1,route_short_name,route_long_name,route_type,route_color,Shape__Length
1261,109367,,7735,6651072,,,,94,Northside Drive,3,819FF7,0.097506111958566
1262,109368,,7701,6643029,,,,120,East Ponce De Leon Avenue,3,819FF7,0.120267120387106
1263,109369,,7704,6650488,,,,124,Pleasantdale Road,3,819FF7,0.140174690380057
1264,109370,,7714,6665944,,,,155,Pittsburgh,3,819FF7,0.113306018825531
1265,109371,,7724,6632690,,,,186,Rainbow Drive / South DeKalb,3,819FF7,0.244331381353897
1266,109372,,7725,6666232,,,,189,Flat Shoals Road / Scofield Road,3,819FF7,0.180875711227737
1267,109373,,7665,6693299,,,,55,Jonesboro Road,3,819FF7,0.211716011980495
1268,109374,,7667,6637756,,,,58,West Lake Avenue / Hollywood Road,3,819FF7,0.137941953296333
1269,109375,,7668,6648846,,,,60,Hightower Road,3,819FF7,0.103781890076246
1270,109376,,7674,6649136,,,,74,Flat Shoals Road,3,819FF7,0.131613362753417
1271,109377,,7710,6633377,,,,143,Windward Park & Ride,3,819FF7,0.265952962653581
1272,109378,,7664,6650468,,,,853,Collier Heights,3,819FF7,0.120417519180903
1273,109379,,7737,6650731,,,,865,Boulder Park Drive,3,819FF7,0.0892162177418182
1274,109380,,7663,6680620,,,,51,Joseph E Boone Boulevard,3,819FF7,0.11013384174163
1275,109381,,7674,6660701,,,,74,Flat Shoals Road,3,819FF7,0.136011015065588
1276,109382,,7682,6672659,,,,85,Roswell / Mansell Road,3,819FF7,0.171050691648544
1277,109384,,7646,6641987,,,,19,Clairmont Road,3,819FF7,0.13790185766584
1278,109385,,7677,6665251,,,,79,Sylvan Hills,3,819FF7,0.110647113095523
1279,109386,,7732,6656868,,,,201,Six Flags Over Georgia,3,819FF7,0.100212061526511
1280,109387,,7655,6689549,,,,34,2nd Ave/Gresham Rd/Clifton Spgs Rd,3,819FF7,0.116364112548134
1281,109389,,7710,6633373,,,,143,Windward Park & Ride,3,819FF7,0.276565186470858
1282,109390,,7732,6683237,,,,201,Six Flags Over Georgia,3,819FF7,0.100212061526511
1283,109391,,7732,6632748,,,,201,Six Flags Over Georgia,3,819FF7,0.100212061526511
1284,109392,,7732,6679755,,,,201,Six Flags Over Georgia,3,819FF7,0.100212061526511
1285,109393,,7659,6693268,,,,42,Pryor Road,3,819FF7,0.148333203783289
1286,109394,,7673,6682803,,,,73,Fulton Industrial,3,819FF7,0.158876005412401
1287,109396,,7709,6681621,,,,141,Haynes Bridge Road / Milton,3,819FF7,0.284664062855276
1288,109397,,7739,6662154,,,,142,East Holcomb Bridge Road,3,819FF7,0.124568055923328
1289,109398,,7730,6676839,,,,195,Forest Parkway,3,819FF7,0.275918126252895
1290,109399,,7673,6649126,,,,73,Fulton Industrial,3,819FF7,0.121764755268256
1291,109400,,7702,6649779,,,,121,Memorial Drive / N Hairston Road,3,819FF7,0.157234435137651
1292,109401,,7654,6633926,,,,825,Johnson Ferry Road,3,819FF7,0.0690116718337875
