Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
1473136,Alam 5048 LLC  ,Convenience Store,5048,Buford Hwy,,Atlanta,GA,30341,2997,DEKALB,33.89016,-84.28632,11/3/2021, 
850298,ALDI 79071 79071,Supermarket,3963,Buford Hwy NE,,Atlanta,GA,30345,1646,DEKALB,33.85805,-84.31042,4/8/2008, 
1046633,AM PM  ,Convenience Store,5048,Buford Hwy, ,Atlanta,GA,30341,2997,DEKALB,33.88988,-84.28598,3/30/2012,5/9/2017
1112149,Aman Food Mart Usa LLC  ,Convenience Store,4301,N Peachtree Rd, ,Atlanta,GA,30341,1209,DEKALB,33.91864,-84.29716,9/23/2013,10/20/2021
1615387,American Food Mart  ,Convenience Store,2345,Flat Shoals Rd SE,,Atlanta,GA,30316,3726,DEKALB,33.71951,-84.31075,9/26/2024, 
1298730,American Hispanic Market  ,Convenience Store,3253,Buford Hwy,Ste 760,Atlanta,GA,30329, ,DEKALB,33.84213,-84.32952,11/6/2017,9/3/2018
1205887,Amigo Food Mart  ,Convenience Store,3245,Chamblee Dunwoody Rd,Ste A207,Atlanta,GA,30341,2992,DEKALB,33.89146,-84.29121,8/18/2015,9/26/2016
1454807,Amoco Circle K  ,Convenience Store,4291,N Peachtree Rd,,Atlanta,GA,30341,1214,DEKALB,33.91824,-84.29685,7/8/2021,3/20/2024
1462071,Amoco Food Mart  ,Convenience Store,202,Candler Rd SE,,Atlanta,GA,30317,3436,DEKALB,33.74741,-84.29182,8/20/2021,6/1/2025
1649370,Amoco Food Mart  ,Convenience Store,202,Candler Rd SE,,Atlanta,GA,30317,3436,DEKALB,33.74741,-84.29182,7/15/2025, 
1090127,An Bien Import & Export Usa Inc  ,Combination Grocery/Other,3275,Chamblee Dunwoody Rd, ,Atlanta,GA,30341,2817,DEKALB,33.89185,-84.29422,5/7/2013,2/17/2020
1393256,Andys Jalisco Llc  ,Medium Grocery Store,3352,Chamblee Tucker Rd,Ste B,Atlanta,GA,30341,4352,DEKALB,33.88556,-84.2556,3/2/2020,12/14/2023
914857,ANGELITOS DE MAMA  ,Combination Grocery/Other,3979,Buford Hwy NE,Ste 122,Atlanta,GA,30345,1683,DEKALB,33.85933,-84.31043,9/21/2009,8/4/2010
967841,ASIA HALAL MEAT  ,Meat/Poultry Specialty,1622,Woodcliff Dr NE,Ste H,Atlanta,GA,30329,3134,DEKALB,33.82932,-84.32682,9/25/2010,4/15/2015
1195434,Asia Halal Meat & Grocery  ,Medium Grocery Store,1594,Wood Cliff Dr Ne,Ste 1,Atlanta,GA,30329, ,DEKALB,33.82826,-84.32615,7/24/2015,11/22/2019
1195434,Asia Halal Meat & Grocery  ,Medium Grocery Store,1594,Wood Cliff Dr Ne,Ste 1,Atlanta,GA,30329, ,DEKALB,33.82826,-84.32615,12/26/2019,9/3/2025
1561041,Atlanta Supermarket  ,Small Grocery Store,3304,Shallowford Rd NE,,Atlanta,GA,30341,3512,DEKALB,33.88412,-84.28494,9/13/2023, 
718431,B & W SUPER MARKET  ,Convenience Store,2225,Glenwood Ave SE, ,Atlanta,GA,30316,2319,DEKALB,33.74012,-84.31425,1/1/1930,5/25/2006
869503,Bangladesh Halal Meat  ,Medium Grocery Store,5382,Buford Hwy NE,Ste B,Atlanta,GA,30340,6105,DEKALB,33.89954,-84.27917,11/26/2008, 
1099260,Bangladeshi Grocery Plus  ,Small Grocery Store,5938,Buford Hwy Ne,Ste 107,Atlanta,GA,30340,1376,DEKALB,33.91262,-84.26337,7/8/2013,1/24/2016
1248795,Bangladeshi Grocery Plus  ,Medium Grocery Store,5938,Buford Hwy Ne,Ste 107,Atlanta,GA,30340,1376,DEKALB,33.91262,-84.26337,7/5/2016,3/5/2018
1004335,Ben H LLC  ,Convenience Store,4930,Peachtree Rd, ,Atlanta,GA,30341,3116,DEKALB,33.88288,-84.31717,5/26/2011,3/1/2016
1285120,Bengal Store & Halal Meat  ,Medium Grocery Store,2475,Chamblee Tucker Rd,Ste D,Atlanta,GA,30341,3509,DEKALB,33.88565,-84.28737,8/16/2017,9/3/2018
1285120,Bengal Store & Halal Meat  ,Medium Grocery Store,2475,Chamblee Tucker Rd,Ste D,Atlanta,GA,30341,3509,DEKALB,33.88565,-84.28737,11/7/2018, 
1091883,Bethlehem Market  ,Combination Grocery/Other,3680,Clairmont Rd, ,Atlanta,GA,30341,4933,DEKALB,33.8672,-84.30949,4/29/2013,6/7/2018
1665585,Beuna Suerte Food Mart  ,Convenience Store,5799,New Peachtree Rd,Ste B,Atlanta,GA,30340,1254,DEKALB,33.89727,-84.28497,11/17/2025, 
1028264,"Bg Mini Mart, Llc  ",Convenience Store,2543,Gresham Rd Se, ,Atlanta,GA,30316,4100,DEKALB,33.7137,-84.31053,12/27/2011,3/18/2013
870528,BIG H  ,Convenience Store,4301,N Shallowford Rd, ,Atlanta,GA,30341,1182,DEKALB,33.91901,-84.30463,11/4/2008,11/23/2018
1127749,Big H  ,Convenience Store,1668,Eastland Rd SE, ,Atlanta,GA,30316,3409,DEKALB,33.71867,-84.33035,1/29/2014,9/27/2017
393430,BIG H FOOD MART  ,Convenience Store,1668,Eastland Rd SE, ,Atlanta,GA,30316,3409,DEKALB,33.71867,-84.33034,5/7/1990,2/6/2006
393430,BIG H FOOD MART  ,Convenience Store,1668,Eastland Rd SE, ,Atlanta,GA,30316,3409,DEKALB,33.71867,-84.33034,9/26/2006,1/28/2014
841048,BIG H FOOD MART  ,Convenience Store,1932,HOSEA WILLIAMS DR, ,ATLANTA,GA,30317, ,DEKALB,33.75251,-84.32432,3/10/2008,1/13/2010
841048,BIG H FOOD MART  ,Convenience Store,1932,HOSEA WILLIAMS DR, ,ATLANTA,GA,30317, ,DEKALB,33.75251,-84.32432,1/15/2010,2/23/2010
1468421,Big H Food Mart  ,Convenience Store,3041,Oakcliff Rd,,Atlanta,GA,30340,2620,DEKALB,33.91099,-84.26374,9/28/2021, 
